ID;FECHA;CÁCERES;BADAJOZ;PLASENCIA;MÉRIDA;DON BENITO-VILLANUEVA;NAVALMORAL;CORIA;LLERENA-ZAFRA;ARROYO DE LA LUZ;SANITARIOS;TOTAL;DIF DÍA ANTERIOR;% ARROYO VS EXTREMADURA;%SANITARIOS VS EXTREMADURA
1;01/03/2020;1;0;0;0;0;0;1;2;1;0;4;-;25,0%;
2;02/03/2020;1;2;0;0;0;0;1;2;1;0;6;2;16,7%;
3;04/03/2020;1;2;0;0;0;0;1;2;1;0;6;0;16,7%;
4;05/03/2020;1;2;0;0;0;0;1;2;1;0;6;0;16,7%;
5;06/03/2020;1;2;0;0;0;0;1;2;1;0;6;0;16,7%;
6;10/03/2020;1;3;0;0;0;1;1;2;1;0;8;2;12,5%;0%
7;11/03/2020;2;3;1;0;0;1;1;2;1;0;10;2;10,0%;0%
8;12/03/2020;11;3;1;0;0;1;1;2;7;0;19;9;36,8%;0%
9;13/03/2020;30;3;1;1;2;1;1;2;15;0;41;22;36,6%;0%
10;14/03/2020;37;18;4;1;3;3;2;2;17;5;70;29;24,3%;7%
11;15/03/2020;55;18;6;3;5;3;3;2;19;16;95;25;20,0%;17%
12;16/03/2020;65;22;14;6;9;6;4;2;27;25;128;33;21,1%;20%
13;17/03/2020;73;25;14;13;10;12;4;2;35;29;153;25;22,9%;19%
14;18/03/2020;96;35;18;13;10;14;5;3;50;36;194;41;25,8%;19%
15;19/03/2020;126;38;18;19;16;15;5;4;59;56;241;47;24,5%;23%
16;20/03/2020;159;43;23;22;21;16;8;5;71;72;297;56;23,9%;24%
17;21/03/2020;180;53;35;25;28;20;8;5;73;92;354;57;20,6%;26%
18;22/03/2020;195;69;36;30;35;20;8;6;73;100;399;45;18,3%;25%
19;23/03/2020;227;85;53;39;36;29;16;8;73;127;493;94;14,8%;26%
20;24/03/2020;302;119;67;49;40;32;18;9;73;149;636;143;11,5%;23%
21;25/03/2020;338;139;80;56;50;41;26;12;;171;742;106;;23%
